"id","countyName","zipCode"
"74676","Pinellas"," 33706 "
"74677","Newton"," 39345 "
"74678","Mitchell"," 31784 "
"74679","Johnson"," 64076 "
"74680","Saline"," 65349 "
"74681","Saint Charles"," 63366 "
"74682","Meriwether"," 31822 "
"74683","Saint Clair"," 65774 "
"74684","Winston"," 35578 "
"74685","Madison"," 30646 "
"74686","Yellowstone"," 59106 "
"74687","Putnam"," 32640 "
"74688","Saint Lucie"," 34987 "
"74689","Sarasota"," 34275 "
"74690","Miami Dade"," 33172 "
"74691","San Diego"," 92091 "
"74692","San Bernardino"," 92376 "
"74693","Riverside"," 92880 "
"74694","Orange"," 92832 "
"74695","Los Angeles"," 90265 "
"74696","Maricopa"," 85305 "
"74697","Muscogee"," 31808 "
"74698","Shelby"," 63434 "
"74699","Morgan"," 30621 "
"74700","Jasper"," 64748 "
"74701","Toole"," 59454 "
"74702","Tuscaloosa"," 35006 "
"74703","Monroe"," 31046 "
"74704","Scott"," 63771 "
"74705","Walker"," 35062 "
"74706","Ouachita"," 71726 "
"74707","Palm Beach"," 33404 "
"74708","Murray"," 30708 "
"74709","Montgomery"," 38967 "
"74710","Washington"," 36548 "
"74711","Montgomery"," 30474 "
"74712","Jefferson"," 63019 "
"74713","Saint Francois"," 63640 "
"74714","Pinellas"," 33707 "
"74715","Johnson"," 64093 "
"74716","Saline"," 65351 "
"74717","Saint Charles"," 63367 "
"74718","Meriwether"," 31830 "
"74719","Saint Clair"," 65785 "
"74720","Madison"," 30662 "
"74721","Putnam"," 32666 "
"74722","Saint Lucie"," 34990 "
"74723","Sarasota"," 34285 "
"74724","Miami Dade"," 33173 "
"74725","San Diego"," 92101 "
"74726","San Bernardino"," 92377 "
"74727","Riverside"," 92881 "
"74728","Orange"," 92833 "
"74729","Los Angeles"," 90266 "
"74730","Maricopa"," 85306 "
"74731","Muscogee"," 31820 "
"74732","Shelby"," 63437 "
"74733","Morgan"," 30625 "
"74734","Jasper"," 64755 "
"74735","Toole"," 59456 "
"74736","Newton"," 30013 "
"74737","Tuscaloosa"," 35111 "
"74738","Stoddard"," 63730 "
"74739","Monroe"," 38821 "
"74740","Monroe"," 31210 "
"74741","Scott"," 63780 "
"74742","Walker"," 35063 "
"74743","Ouachita"," 71751 "
"74744","Palm Beach"," 33405 "
"74745","Murray"," 30711 "
"74746","Montgomery"," 39176 "
"74747","Washington"," 36553 "
"74748","Jefferson"," 63020 "
"74749","Saint Francois"," 63645 "
"74750","Pinellas"," 33708 "
"74751","Johnson"," 64733 "
"74752","Saint Charles"," 63368 "
"74753","Sarasota"," 34286 "
"74754","Miami Dade"," 33174 "
"74755","San Diego"," 92102 "
"74756","San Bernardino"," 92378 "
"74757","Riverside"," 92882 "
"74758","Orange"," 92835 "
"74759","Los Angeles"," 90270 "
"74760","Maricopa"," 85307 "
"74761","Oconee"," 30605 "
"74762","Muscogee"," 31829 "
"74763","Stone"," 65610 "
"74764","Jackson"," 64014 "
"74765","Teton"," 59410 "
"74766","Tallapoosa"," 35010 "
"74767","Shelby"," 63439 "
"74768","Morgan"," 30641 "
"74769","Jasper"," 64801 "
"74770","Toole"," 59474 "
"74771","Newton"," 30014 "
"74772","Tuscaloosa"," 35188 "
"74773","Stoddard"," 63735 "
"74774","Monroe"," 38848 "
"74775","Monroe"," 31220 "
"74776","Scott"," 63801 "
"74777","Walker"," 35130 "
"74778","Ouachita"," 71764 "
"74779","Palm Beach"," 33406 "
"74780","Murray"," 30721 "
"74781","Montgomery"," 39562 "
"74782","Washington"," 36558 "
"74783","Jefferson"," 63023 "
"74784","Saint Francois"," 63648 "
"74785","Pinellas"," 33709 "
"74786","Johnson"," 64761 "
"74787","Saint Charles"," 63376 "
"74788","Sarasota"," 34287 "
"74789","Miami Dade"," 33175 "
"74790","San Diego"," 92103 "
"74791","San Bernardino"," 92382 "
"74792","Riverside"," 92883 "
"74793","Orange"," 92840 "
"74794","Los Angeles"," 90272 "
"74795","Maricopa"," 85308 "
"74796","Oconee"," 30606 "
"74797","Muscogee"," 31901 "
"74798","Stone"," 65611 "
"74799","Oglethorpe"," 30619 "
"74800","Jackson"," 64015 "
"74801","Teton"," 59422 "
"74802","Sullivan"," 63545 "
"74803","Tallapoosa"," 35089 "
"74804","Nevada"," 71835 "
"74805","Shelby"," 63468 "
"74806","Morgan"," 30650 "
"74807","Jasper"," 64804 "
"74808","Toole"," 59482 "
"74809","Newton"," 30016 "
"74810","Tuscaloosa"," 35401 "
"74811","Stoddard"," 63822 "
"74812","Monroe"," 38858 "
"74813","Scott"," 63834 "
"74814","Walker"," 35148 "
"74815","Palm Beach"," 33407 "
"74816","Murray"," 30735 "
"74817","Montgomery"," 39747 "
"74818","Washington"," 36583 "
"74819","Jefferson"," 63025 "
"74820","Saint Francois"," 63650 "
"74821","Pinellas"," 33710 "
"74822","Johnson"," 65336 "
"74823","Saint Charles"," 63385 "
"74824","Sarasota"," 34288 "
"74825","Miami Dade"," 33176 "
"74826","San Diego"," 92104 "
"74827","San Bernardino"," 92385 "
"74828","Orange"," 92841 "
"74829","Los Angeles"," 90274 "
"74830","Maricopa"," 85310 "
"74831","Paulding"," 30101 "
"74832","Oconee"," 30621 "
"74833","Taney"," 65608 "
"74834","Orange"," 32703 "
"74835","Marshall"," 38611 "
"74836","Iron"," 63620 "
"74837","Muscogee"," 31903 "
"74838","Stone"," 65616 "
"74839","Oglethorpe"," 30627 "
"74840","Jackson"," 64016 "
"74841","Teton"," 59433 "
"74842","Sullivan"," 63556 "
"74843","Tallapoosa"," 36078 "
"74844","Nevada"," 71857 "
"74845","Shelby"," 63469 "
"74846","Morgan"," 30663 "
"74847","Jasper"," 64830 "
"74848","Toole"," 59484 "
"74849","Newton"," 30025 "
"74850","Tuscaloosa"," 35404 "
"74851","Stoddard"," 63825 "
"74852","Monroe"," 38860 "
"74853","Walker"," 35501 "
"74854","Palm Beach"," 33408 "
"74855","Murray"," 30751 "
"74856","Montgomery"," 39767 "
"74857","Washington"," 36584 "
"74858","Jefferson"," 63026 "
"74859","Saint Francois"," 63653 "
"74860","Pinellas"," 33711 "
"74861","Sarasota"," 34289 "
"74862","Miami Dade"," 33177 "
"74863","San Diego"," 92105 "
